FoldingCoin, min = Jan 04, 2015 - 0.000032, max = Dec 07, 2017 - 0.054567 
UAHPay, min = Dec 12, 2017 - 0.000011, max = Nov 30, 2017 - 0.037235 
Counterparty, min = Jan 12, 2016 - 0.413080, max = Jul 28, 2017 - 9.95 
Chronos, min = Oct 20, 2016 - 0.000013, max = May 09, 2017 - 0.008215 
RSGPcoin, min = Aug 30, 2017 - 10.00, max = Nov 17, 2017 - 9.90 
Kin, min = Nov 03, 2017 - 0.000037, max = Oct 16, 2017 - 0.000219 
Yacoin, min = Feb 15, 2017 - 0.000111, max = Dec 01, 2013 - 0.346206 
Pakcoin, min = Sep 25, 2015 - 0.000002, max = Aug 15, 2017 - 0.023055 
KiloCoin, min = Aug 20, 2017 - 0.000034, max = Dec 17, 2017 - 0.025455 
Einsteinium, min = Jan 03, 2016 - 0.000025, max = Dec 07, 2017 - 2.88 
SydPak, min = Mar 05, 2016 - 0.000521, max = Dec 17, 2017 - 0.229433 
Crypto, min = May 27, 2015 - 0.000017, max = Nov 21, 2017 - 0.018144 
Monkey, min = Dec 10, 2017 - 0.690713, max = Nov 29, 2017 - 7.41 
Polybius, min = Jul 14, 2017 - 1.33, max = Jul 07, 2017 - 9.12 
Filecoin, min = Dec 14, 2017 - 10.95, max = Dec 16, 2017 - 21.95 
Primulon, min = Sep 15, 2017 - 0.000061, max = Oct 08, 2017 - 0.002838 
Lunyr, min = Jul 16, 2017 - 1.45, max = Sep 20, 2017 - 9.88 
Bitradio, min = Nov 10, 2017 - 0.040417, max = Oct 22, 2017 - 1.21 
EggCoin, min = Apr 30, 2015 - 0.000005, max = Dec 13, 2017 - 0.071261 
President, min = Nov 04, 2016 - 0.000881, max = Jun 16, 2017 - 0.497802 
SALT, min = Nov 01, 2017 - 2.14, max = Dec 14, 2017 - 9.52 
Pura, min = May 11, 2015 - 0.000002, max = Aug 25, 2017 - 1.10 
Espers, min = Dec 20, 2016 - 0.000001, max = Apr 29, 2016 - 9.1e-07 
CVCoin, min = Jul 19, 2017 - 0.143238, max = Dec 17, 2017 - 2.48 
Viberate, min = Oct 10, 2017 - 0.102139, max = Nov 08, 2017 - 0.289981 
Ignis, min = Dec 13, 2017 - 1.94, max = Dec 14, 2017 - 6.90 
SoonCoin, min = Sep 05, 2015 - 0.000040, max = Jun 06, 2017 - 0.031915 
BumbaCoin, min = Dec 07, 2016 - 0.000070, max = Dec 18, 2017 - 0.014471 
Canada, min = Jan 01, 2015 - 0.000003, max = Dec 11, 2017 - 0.027224 
Fastcoin, min = Apr 01, 2016 - 0.000025, max = Dec 01, 2013 - 0.067311 
DecentBet, min = Dec 08, 2017 - 0.094887, max = Nov 14, 2017 - 0.256542 
LLToken, min = Sep 06, 2017 - 0.049382, max = Dec 04, 2017 - 0.719168 
eUSD, min = Dec 03, 2017 - 0.000107, max = Oct 22, 2017 - 0.011848 
SpankChain, min = Dec 03, 2017 - 0.025028, max = Dec 14, 2017 - 0.153158 
DigitalDevelopersFund, min = Dec 15, 2017 - 0.043695, max = Aug 20, 2017 - 0.690119 
BlazeCoin, min = Jan 05, 2017 - 0.000001, max = Jul 02, 2014 - 0.003247 
Bitcoin, min = Apr 14, 2017 - 100.15, max = Dec 10, 2017 - 97.38 
Prospectors, min = Nov 07, 2017 - 0.011538, max = Oct 09, 2017 - 0.353518 
Project, min = Jul 26, 2016 - 0.002804, max = Sep 07, 2017 - 0.283272 
Alphabit, min = Apr 21, 2017 - 0.000353, max = Aug 03, 2017 - 9.66 
NEVERDIE, min = Dec 10, 2017 - 0.026150, max = Aug 12, 2017 - 0.371125 
MojoCoin, min = Dec 30, 2016 - 0.000053, max = Nov 24, 2017 - 0.160431 
Janus, min = Jan 29, 2017 - 0.000282, max = Jun 08, 2017 - 1.58 
Digital, min = Aug 02, 2016 - 0.000085, max = Jun 18, 2016 - 3.17 
Oyster, min = Nov 23, 2017 - 0.002270, max = Dec 14, 2017 - 0.051863 
MustangCoin, min = Nov 11, 2016 - 0.000722, max = Sep 24, 2017 - 0.470080 
Quark, min = Oct 24, 2013 - 0.000080, max = Dec 02, 2013 - 0.307567 
Digitalcoin, min = May 02, 2015 - 0.001531, max = Dec 14, 2013 - 0.794324 
Happycoin, min = Apr 18, 2017 - 0.001243, max = Sep 07, 2017 - 0.449806 
DraftCoin, min = Nov 25, 2015 - 0.068413, max = Aug 12, 2017 - 2.39 
Bitland, min = Jan 06, 2017 - 0.000399, max = Jun 04, 2017 - 0.490533 
Internet, min = Sep 15, 2017 - 0.399116, max = Mar 09, 2017 - 9.68 
Ride, min = Apr 10, 2017 - 0.000036, max = Jul 02, 2017 - 0.000751 
GAIA, min = Sep 22, 2015 - 0.000138, max = Sep 02, 2017 - 0.085763 
DigixDAO, min = Aug 27, 2016 - 10.00, max = Aug 27, 2017 - 99.96 
Opus, min = Nov 21, 2017 - 0.008151, max = Sep 05, 2017 - 0.306681 
OAX, min = Aug 02, 2017 - 0.273459, max = Aug 20, 2017 - 2.88 
Motocoin, min = May 04, 2015 - 0.000014, max = Dec 18, 2017 - 0.074791 
Wings, min = Jan 12, 2017 - 0.020380, max = Jun 07, 2017 - 1.08 
TurboCoin, min = Jul 16, 2017 - 0.000018, max = Jul 07, 2017 - 0.000230 
Bankcoin, min = Sep 23, 2017 - 0.056350, max = Jun 03, 2017 - 5.39 
MSD, min = Dec 15, 2017 - 0.005491, max = Oct 01, 2017 - 0.234221 
Sakuracoin, min = Dec 01, 2016 - 0.000010, max = Dec 07, 2017 - 0.021034 
GXShares, min = Sep 15, 2017 - 0.626217, max = Dec 18, 2017 - 7.78 
ChessCoin, min = Aug 17, 2016 - 0.000012, max = Jul 04, 2017 - 0.142148 
Bonpay, min = Dec 17, 2017 - 0.487831, max = Dec 08, 2017 - 3.19 
LottoCoin, min = Dec 26, 2015 - 0.000001, max = Mar 04, 2015 - 9e-07 
Dimecoin, min = Mar 13, 2014 - 0.000001, max = Jul 06, 2016 - 9e-08 
ShellCoin, min = Sep 15, 2015 - 0.000026, max = Dec 12, 2017 - 0.050455 
MACRON, min = Sep 19, 2017 - 0.000041, max = Nov 01, 2017 - 0.001736 
